0 0.8801056126735208[lteStructure.SB@33a10788, lteStructure.SB@7006c658, lteStructure.SB@34033bd0, lteStructure.SB@47fd17e3, lteStructure.SB@7cdbc5d3, lteStructure.SB@3aa9e816]
1 0.8641036924430932[lteStructure.SB@1ae369b7, lteStructure.SB@6fffcba5, lteStructure.SB@34340fab, lteStructure.SB@2aafb23c, lteStructure.SB@2b80d80f, lteStructure.SB@3ab39c39]
2 0.835100212025443[lteStructure.SB@2eee9593, lteStructure.SB@7907ec20, lteStructure.SB@546a03af, lteStructure.SB@721e0f4f, lteStructure.SB@28864e92, lteStructure.SB@6ea6d14e]
3 0.824098891867024[lteStructure.SB@6ad5c04e, lteStructure.SB@6833ce2c, lteStructure.SB@725bef66, lteStructure.SB@2aaf7cc2, lteStructure.SB@6e3c1e69, lteStructure.SB@1888ff2c]
4 0.8300996119534344[lteStructure.SB@35851384, lteStructure.SB@649d209a, lteStructure.SB@6adca536, lteStructure.SB@357246de, lteStructure.SB@28f67ac7, lteStructure.SB@256216b3]
5 0.828099371924631[lteStructure.SB@2a18f23c, lteStructure.SB@d7b1517, lteStructure.SB@16c0663d, lteStructure.SB@23223dd8, lteStructure.SB@4ec6a292, lteStructure.SB@1b40d5f0]
6 0.9011081329759572[lteStructure.SB@ea4a92b, lteStructure.SB@3c5a99da, lteStructure.SB@47f37ef1, lteStructure.SB@5a01ccaa, lteStructure.SB@71c7db30, lteStructure.SB@19bb089b]
7 0.8601032123854863[lteStructure.SB@4563e9ab, lteStructure.SB@11531931, lteStructure.SB@5e025e70, lteStructure.SB@1fbc7afb, lteStructure.SB@45c8e616, lteStructure.SB@4cdbe50f]
8 0.8841060927311277[lteStructure.SB@66d33a, lteStructure.SB@7cf10a6f, lteStructure.SB@7e0babb1, lteStructure.SB@6debcae2, lteStructure.SB@5ba23b66, lteStructure.SB@2ff4f00f]
9 0.8821058527023244[lteStructure.SB@c818063, lteStructure.SB@3f0ee7cb, lteStructure.SB@75bd9247, lteStructure.SB@7d417077, lteStructure.SB@7dc36524, lteStructure.SB@35bbe5e8]
10 0.9161099331919832[lteStructure.SB@2c8d66b2, lteStructure.SB@5a39699c, lteStructure.SB@3cb5cdba, lteStructure.SB@56cbfb61, lteStructure.SB@1134affc, lteStructure.SB@d041cf]
11 0.8090970916509982[lteStructure.SB@129a8472, lteStructure.SB@1b0375b3, lteStructure.SB@2f7c7260, lteStructure.SB@2d209079, lteStructure.SB@6bdf28bb, lteStructure.SB@6b71769e]
12 0.9251110133215987[lteStructure.SB@2752f6e2, lteStructure.SB@e580929, lteStructure.SB@1cd072a9, lteStructure.SB@7c75222b, lteStructure.SB@4c203ea1, lteStructure.SB@27f674d]
13 0.8270992519102293[lteStructure.SB@1d251891, lteStructure.SB@48140564, lteStructure.SB@58ceff1, lteStructure.SB@7c30a502, lteStructure.SB@49e4cb85, lteStructure.SB@2133c8f8]
14 0.9101092131055726[lteStructure.SB@43a25848, lteStructure.SB@3ac3fd8b, lteStructure.SB@5594a1b5, lteStructure.SB@6a5fc7f7, lteStructure.SB@3b6eb2ec, lteStructure.SB@1e643faf]
15 0.8531023722846741[lteStructure.SB@6e8dacdf, lteStructure.SB@7a79be86, lteStructure.SB@34ce8af7, lteStructure.SB@b684286, lteStructure.SB@880ec60, lteStructure.SB@3f3afe78]
16 0.887106452774333[lteStructure.SB@7f63425a, lteStructure.SB@36d64342, lteStructure.SB@39ba5a14, lteStructure.SB@511baa65, lteStructure.SB@340f438e, lteStructure.SB@30c7da1e]
17 0.8591030923710847[lteStructure.SB@5b464ce8, lteStructure.SB@57829d67, lteStructure.SB@19dfb72a, lteStructure.SB@17c68925, lteStructure.SB@7e0ea639, lteStructure.SB@3d24753a]
18 0.8761051326159138[lteStructure.SB@59a6e353, lteStructure.SB@7a0ac6e3, lteStructure.SB@71be98f5, lteStructure.SB@6fadae5d, lteStructure.SB@17f6480, lteStructure.SB@2d6e8792]
19 0.8991078929471538[lteStructure.SB@2812cbfa, lteStructure.SB@2acf57e3, lteStructure.SB@506e6d5e, lteStructure.SB@96532d6, lteStructure.SB@3796751b, lteStructure.SB@67b64c45]
20 0.8511021322558707[lteStructure.SB@4411d970, lteStructure.SB@6442b0a6, lteStructure.SB@60f82f98, lteStructure.SB@35f983a6, lteStructure.SB@7f690630, lteStructure.SB@edf4efb]
